id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
198125,28,22.1,3.76,24.9,1663,1.5,0.929
93278,14,20.22,-5.1,25,1599,1.357,0.857
188610,13,42.92,9.15,20.4,626,1.769,1.077
194157,24,34.52,6,23.6,996,2.208,1.25
92507,26,32.55,-5.55,23.6,972,2.231,1.346
65275,19,28.71,-21.27,20.4,436,2.316,1.421
186992,11,26.63,10.04,27.5,665,2.091,1.273
182286,4,31.83,12.74,27.9,406,1.5,0.5
83749,15,22.36,-10.49,23.1,1323,1.8,1.067
202954,18,31.58,1.06,22.7,1162,1.944,1.111
102105,26,27.51,-0.16,23.7,1734,1.5,0.96
179912,4,16.35,14.09,29.6,250,1.5,0.5
191668,22,-10.62,7.35,25.8,2691,1.545,1.143
63766,12,19.83,-22.17,19.4,382,2.5,1.583
179125,4,11.64,14.54,27.3,144,1.5,0.5
184621,10,23.43,11.39,25.8,666,2.1,1.2
88526,25,33.53,-7.8,20,921,2.2,1.4
94084,16,23.24,-4.66,25.5,1661,1.438,0.933
66782,24,32.26,-20.38,22.4,482,2.208,1.292
83742,16,19.16,-10.49,21.3,1339,1.812,1.125
91667,14,13.75,-6,25.8,1049,1.786,1
198967,13,40.9,3.31,26,324,1.769,1.154
193307,20,10.75,6.45,17.7,1863,1.6,0.95
60084,11,20.27,-24.42,20.1,248,2.455,1.545
189398,12,40.83,8.7,21.4,922,1.833,1
83784,24,38.35,-10.49,25,888,2.167,1.292
186223,13,36.06,10.49,19.8,1790,2,1.077
179136,4,16.74,14.54,29.5,199,2,1
181407,19,-12.99,13.19,28.3,894,2.158,1.053
183851,5,30.65,11.84,26.9,604,1.8,0.8
184603,14,15.19,11.39,28.2,616,2.286,1.143
198159,16,37.41,3.76,26.1,307,2.125,1.438
185348,15,-3.86,10.94,27.4,1016,2.267,1.333
190113,17,5.17,8.25,26,1225,1.882,1.059
202150,22,30.72,1.51,25.3,937,1.955,1.091
177564,5,6.38,15.43,28.2,250,1.8,0.8
182275,4,26.76,12.74,27.3,319,1.5,0.5
77510,20,35.8,-14.09,23.1,1038,2.15,1.15
72107,16,37.26,-17.23,25.3,1289,2,1.188
184592,12,10.15,11.39,26.1,817,2.083,1.167
68262,14,18.67,-19.48,21.4,459,2.357,1.5
91714,22,34.97,-6,23.7,582,2.227,1.409
76733,21,35.77,-14.54,23.3,1024,2.095,1.095
182268,6,23.54,12.74,23.2,642,1.833,1
191003,4,48.49,7.8,24.8,158,2.25,2
80637,24,37.43,-12.29,25.4,1247,2.292,1.292
186191,16,21.45,10.49,27.1,894,2.312,1.25
66761,12,22.2,-20.38,22.3,419,2.333,1.583
83774,22,33.78,-10.49,14.8,1287,2.136,1.318
95708,21,34.26,-3.76,23.2,730,2.238,1.381
190921,17,11.31,7.8,26.7,1334,2.059,1.176
82178,18,23.89,-11.39,20.7,1436,2,1.222
90899,14,27.02,-6.45,25,1024,1.714,1
99717,29,35.67,-1.51,14.9,929,2.241,1.345
75926,17,21.33,-14.99,20.6,937,2.294,1.294
