specimenID,Place,Member,Order,Family,Subfamily,Tribe,Genus,Species,HYP,LOP,MidMemberAge,TurkanaTimeBin,EastWest,ComLoc,unique_species_used,meanHYP,meanLOP,MAPreg,MATreg,MAPknn,MATknn
KNM-ER-629,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-700,8,Okote,Carnivora,Felidae,NA,NA,Panthera,leo,NA,NA,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-723,8,Okote,Carnivora,Hyaenidae,NA,NA,Crocuta,ultra,NA,NA,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-729,8,Okote,Primates,Hominidae,Homininae,Hominini,Australopithecus,boisei,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-733,8,Okote,Primates,Hominidae,Homininae,Hominini,Australopithecus,boisei,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-744,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-745,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-746,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,aethiopicus,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-803,8,Okote,Primates,Hominidae,Homininae,Hominini,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-806,8,Okote,Primates,Hominidae,Homininae,Hominini,Homo,erectus,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-808,8,Okote,Primates,Hominidae,Homininae,Hominini,Homo,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-809,8,KBS,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-809,8,Okote,Primates,Hominidae,Homininae,Hominini,Homo,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-821,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,Colobus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-823,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-824,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-825,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-828,8,KBS,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-829,8,KBS,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.7,1.6,E,KBS,1,2.32,1.16,561,23.9,694,25.2
KNM-ER-830,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-831,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-832,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-833,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-834,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-835,8,KBS,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-836,8,KBS,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-837,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-838,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-839,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-841,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,Colobus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-843,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-850,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-860,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
